4/14/2019 1:29	The file contains frame by frame data of location for 3 tracked objects 										
The coordinate system is in Unity world coordinates.											
-------------------------------------------------											
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ
735	8909.598	-1	7.7	10	-6.5	7.028796	10.16064	-6.788417	7.530215	9.995483	-6.535861
736	8919.949	-1	7.7	10	-6.5	7.028306	10.16027	-6.787487	7.527524	9.995481	-6.538166
737	8931.146	-1	7.7	10	-6.5	7.027693	10.15957	-6.786127	7.524879	9.995508	-6.540626
738	8942	-1	7.7	10	-6.5	7.027634	10.15871	-6.784872	7.522245	9.995338	-6.543832
739	8953.719	-1	7.7	10	-6.5	7.027433	10.15782	-6.78379	7.519618	9.99514	-6.54718
740	8964.479	-1	7.7	10	-6.5	7.027464	10.15705	-6.782671	7.517571	9.994598	-6.550908
741	8975.746	-1	7.7	10	-6.5	7.027512	10.15585	-6.781683	7.515534	9.994015	-6.55478
742	8987.348	-1	7.7	10	-6.5	7.027496	10.15471	-6.78044	7.51429	9.992703	-6.559188
743	8998.062	-1	7.7	10	-6.5	7.027658	10.15346	-6.779368	7.513293	9.991463	-6.563456
744	9009.063	-1	7.7	10	-6.5	7.027866	10.15217	-6.778179	7.512794	9.989896	-6.568249
745	9020.119	-1	7.7	10	-6.5	7.027701	10.1506	-6.776899	7.5134	9.98781	-6.573404
746	9032.009	-1	7.7	10	-6.5	7.027717	10.14925	-6.775801	7.514627	9.985226	-6.579038
747	9043.377	-1	7.7	10	-6.5	7.02764	10.14778	-6.774613	7.517035	9.98195	-6.585061
748	9054.141	-1	7.7	10	-6.5	7.027878	10.14661	-6.773588	7.519669	9.978759	-6.590848
749	9065.006	-1	7.7	10	-6.5	7.027928	10.14513	-6.772437	7.522999	9.975414	-6.59702
750	9077.203	-1	7.7	10	-6.5	7.027979	10.14359	-6.771316	7.527042	9.971733	-6.60369
751	9087.799	-1	7.7	10	-6.5	7.028023	10.14178	-6.77016	7.531691	9.968118	-6.610257
752	9099.22	-1	7.7	10	-6.5	7.028795	10.14044	-6.769346	7.536868	9.964018	-6.617463
753	9110.054	-1	7.7	10	-6.5	7.031302	10.13967	-6.768611	7.541886	9.960154	-6.624126
