4/21/2019 10:31:48 PM	The file contains frame by frame data of location for 3 tracked objects 
The coordinate system is in Unity world coordinates.
-------------------------------------------------
FrameNumber	Timestamp	Target Number	TargetX	TargetY	TargetZ	HeadX	HeadY	HeadZ	HandX	HandY	HandZ	GazeX	GazeY	GazeZ	
28506	320802.9	26	6.5	10	-6.2	6.788432	10.1496	-6.507277	6.868425	9.976822	-6.262359	42.79845	15.56168	4.75	
28507	320812.9	26	6.5	10	-6.2	6.785349	10.14935	-6.508066	6.859195	9.97578	-6.267286	42.79845	15.56168	4.75	
28508	320824.4	26	6.5	10	-6.2	6.782158	10.14913	-6.508922	6.84965	9.97515	-6.272459	42.79845	15.56168	4.75	
28509	320835.3	26	6.5	10	-6.2	6.778982	10.14888	-6.509858	6.840264	9.97428	-6.278089	14.81906	13.62694	4.75	
28510	320846.9	26	6.5	10	-6.2	6.775939	10.14869	-6.511027	6.832136	9.97425	-6.284213	14.86325	13.62347	4.75	
28511	320857.8	26	6.5	10	-6.2	6.773077	10.14852	-6.512288	6.823462	9.974539	-6.290296	14.90228	13.61895	4.75	
28512	320869.2	26	6.5	10	-6.2	6.770383	10.14831	-6.513423	6.815456	9.974765	-6.296405	14.93961	13.61613	4.75	
28513	320880.2	26	6.5	10	-6.2	6.768029	10.14812	-6.514798	6.807724	9.975457	-6.302743	14.96654	13.6115	4.75	
28514	320892.6	26	6.5	10	-6.2	6.765681	10.14785	-6.516164	6.799855	9.976024	-6.309146	14.99331	13.60847	4.750001	
28515	320902.8	26	6.5	10	-6.2	6.763349	10.14763	-6.517287	6.792055	9.977016	-6.315873	15.0232	13.606	4.75	
28516	320914.1	26	6.5	10	-6.2	6.761294	10.14737	-6.518666	6.784157	9.978215	-6.322623	15.04373	13.60269	4.75	
28517	320924.9	26	6.5	10	-6.2	6.759179	10.14709	-6.519901	6.776723	9.979381	-6.329384	11.88732	12.3068	4.75	
28518	320936.2	26	6.5	10	-6.2	6.75725	10.1468	-6.521204	6.769407	9.980866	-6.336505	11.91071	12.30749	4.749999	
28519	320947.8	26	6.5	10	-6.2	6.755567	10.14649	-6.522556	6.761573	9.982496	-6.34341	11.40022	12.16902	4.749999	
28520	320959.3	26	6.5	10	-6.2	6.753825	10.14611	-6.523951	6.754563	9.984368	-6.350109	11.42028	12.17117	4.75	
28521	320969.8	26	6.5	10	-6.2	6.752416	10.14569	-6.525272	6.747777	9.986836	-6.356893	10.77286	12.07468	4.75	
28522	320980.9	26	6.5	10	-6.2	6.751257	10.14526	-6.526552	6.740816	9.989803	-6.363163	10.78468	12.07813	4.75	
28523	320993.6	26	6.5	10	-6.2	6.750098	10.14503	-6.527908	6.734304	9.992888	-6.369308	10.796	12.07815	4.75	
28524	321004.1	26	6.5	10	-6.2	6.749275	10.14489	-6.529103	6.728084	9.996693	-6.375425	10.80261	12.0771	4.75	
28525	321015	26	6.5	10	-6.2	6.748789	10.14487	-6.530247	6.722261	10.00061	-6.381582	10.80383	12.07413	4.75	
28526	321025.7	26	6.5	10	-6.2	6.748396	10.1448	-6.531317	6.716589	10.00501	-6.387203	10.80394	12.0722	4.75	
28527	321037.2	26	6.5	10	-6.2	6.748071	10.14476	-6.532373	6.710763	10.00953	-6.392053	10.803	12.06976	4.75	
28528	321047.6	26	6.5	10	-6.2	6.747839	10.14474	-6.533406	6.705264	10.01398	-6.396348	10.80064	12.0672	4.750001	
28529	321059.3	26	6.5	10	-6.2	6.747688	10.14482	-6.534428	6.699568	10.01841	-6.400314	10.79701	12.06287	4.75	
28530	321070.4	26	6.5	10	-6.2	6.747665	10.14494	-6.53553	6.693876	10.02274	-6.403282	9.431384	11.97093	4.75	
28531	321082.2	26	6.5	10	-6.2	6.747769	10.14514	-6.536609	6.688327	10.02655	-6.405258	9.425489	11.96483	4.75	
28532	321092.6	26	6.5	10	-6.2	6.747859	10.1453	-6.537605	6.682604	10.03045	-6.406085	9.420153	11.9597	4.749999	
28533	321104.1	26	6.5	10	-6.2	6.748292	10.14555	-6.538541	6.676793	10.0343	-6.406263	9.409484	11.95313	4.75	
28534	321114.7	26	6.5	10	-6.2	6.748831	10.1458	-6.539421	6.670702	10.03763	-6.404335	9.397332	11.94673	4.75	
28535	321126.7	26	6.5	10	-6.2	6.749431	10.146	-6.540452	6.66434	10.0407	-6.400833	9.383657	11.94083	4.749999	
28536	321137.6	26	6.5	10	-6.2	6.750232	10.14623	-6.541436	6.657537	10.04334	-6.396331	9.366947	11.9345	4.75	
28537	321148.6	26	6.5	10	-6.2	6.751035	10.14649	-6.542417	6.650202	10.04531	-6.390695	9.350257	11.92784	4.749999	
28538	321160.1	26	6.5	10	-6.2	6.751857	10.14674	-6.543517	6.64268	10.04668	-6.384391	9.33287	11.92101	4.75	
28539	321172.5	26	6.5	10	-6.2	6.752725	10.147	-6.544572	6.634383	10.04732	-6.375929	9.314981	11.91405	4.750001	
28540	321183	26	6.5	10	-6.2	6.753429	10.14721	-6.545461	6.626306	10.04732	-6.367216	9.300378	11.90843	4.75	
28541	321195.4	26	6.5	10	-6.2	6.754312	10.1475	-6.546328	6.618526	10.0476	-6.358162	9.283019	11.90156	4.750001	
